,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,Worms,,,,Schistosomiasis,,LF,,,Total,,,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,Malaria,HIV,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistomasis,,Onchocerciasis,,LF,,,Total
Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,Impact of AL,Impact of AS+SP,Impact of DHA-PPQ,Impact of AS+MQ,Impact of AS+AQ,Impact of CQ + PQ,Impact of DHA-PPQ + PQ,Impact of ART + NQ,Impact of ART + PPQ,Impact of AL + PQ,Impact of SP,Impact of AS + MQ + PQ,Impact of QN + CL,Impact of QN + D,Total Impact (p.falc),Impact of CQ+PQ,Impact of CQ,Impact of CQ + PG,Impact of AL,Impact of AL+PQ,Impact of AS + AQ,Impact of DHA-PPQ+PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Impact of NFV,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,,,Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,Total Impact (p.falc),CQ + PQ,CQ,DHA-PPQ,AL,AL + PQ,AS + AQ + PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of ATV/r,Impact of TDF,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Ivermectin,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,
Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauru,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,, Nauru,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,0.00
Nepal,0.00,"439,035.46",103.47,16.02,195.81,154.09,"439,504.85",359.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,359.59,"1,223.82",0.00,0.00,0.00,0.00,0.00,0.00,"1,223.82","1,583.41","1,661.94",12.95,678.44,0.00,748.68,705.86,98.89,18.75,"1,034.29",320.76,0.00,0.00,"5,280.57",  267.70 , , ,"  1,490.93 ", ,  35.34 , , ,  267.70 ,"  1,490.93 ",  35.34 ,"  1,793.96 ",,  -   ,  236.37 ,,  236.37 ,"448,758.74",, Nepal,"44,689.81","285,053.88","8,949.68",645.75,"7,799.81",623.68,"347,762.61",0.00,"1,412.91",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,412.91","4,902.33",0.00,0.00,0.00,0.00,0.00,"4,902.33","6,315.24",171.42,8.60,70.79,0.24,1.21,116.80,40.72,17.93,75.33,2.29,135.96,641.29,  228.91 , ,  216.48 ,"  1,578.00 ", ,  39.24 , ,  143.66 ,445.39,"1,578.00",182.91,"2,206.30",,0.00,,0.00,  142.61 ,  22.54 ,165.15,"357,090.58"
Netherlands,314.00,"3,650.85",1.67,0.26,4.42,0.25,"3,971.45",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.81,0.80,1.96,0.00,3.05,1.79,0.00,0.61,3.28,0.00,0.00,0.00,17.29, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,988.74",, Netherlands,155.75,993.47,4.96,1.11,8.93,0.54,"1,164.76",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"1,164.76"
New Caledonia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,  -   ,0.00,, New Caledonia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,  -   ,  -   ,0.00,0.00
New Zealand,9.62,882.97,0.00,0.00,0.00,0.02,892.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.61,0.02,1.07,0.00,1.18,1.09,0.15,0.03,1.64,0.49,0.00,0.00,8.27, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,900.89,, New Zealand,45.11,287.76,0.00,0.00,0.00,0.00,332.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.29,0.01,0.48,0.00,0.00,1.00,0.36,0.11,0.53,0.02,1.21,5.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,337.88
Nicaragua,510.17,"17,940.98",2.98,0.46,5.18,1.96,"18,461.72",0.00,0.00,0.00,0.00,0.00,3.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.21,26.45,0.00,0.00,0.00,0.00,0.00,0.00,26.45,29.66,199.26,4.86,160.09,0.26,9.63,138.45,14.06,21.58,31.48,39.01,21.93,0.15,640.76, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"19,135.35",, Nicaragua,712.70,"4,545.98",202.87,12.18,138.93,12.69,"5,625.35",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.64,0.00,0.00,0.00,0.00,0.00,0.64,0.69,144.53,3.03,56.04,0.07,0.37,106.78,38.33,13.22,60.77,2.15,127.39,552.67, , , , , , , , ,0.00,0.00,0.00,0.00,  -   ,0.00,0.00,0.00,,,0.00,"6,178.71"
Niger,"16,490.38","281,398.34",18.95,2.93,43.09,205.52,"298,159.22","793,015.29",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"793,015.29",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"793,015.29","3,280.90",27.39,"1,341.66",0.00,"1,481.75","1,377.71",190.22,37.92,"2,051.43",620.32,0.00,0.00,"10,409.31", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,  117.47 ,  117.47 ,,  -   ,  -   ,"1,894,716.58",, Niger,"31,203.33","199,030.40","8,529.74",627.44,"8,482.69",632.45,"248,506.06","466,676.42",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"466,676.42",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"466,676.42","3,195.16",240.45,"1,362.00",6.98,35.65,"2,051.18",694.72,374.48,"1,430.98",39.26,"2,330.76","11,761.63", , , , , , , , ,0.00,0.00,0.00,0.00,  479.90 ,479.90,0.00,0.00,,  17.23 ,17.23,"727,441.24"
Nigeria,"408,588.52","1,905,896.80",5.64,0.87,12.21,384.32,"2,314,888.36","11,699,762.36",0.00,0.00,0.00,"9,170,581.83",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"20,870,344.19",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"20,870,344.19","132,055.87","1,794.44","53,604.36",0.00,"59,917.05","55,113.30","7,418.62","2,034.16","82,057.26","24,158.63",0.00,0.00,"418,153.71", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"  23,328.37 ","  23,328.37 ",,  -   ,  -   ,"44,497,058.82",, Nigeria,"79,568.60","507,528.20","26,452.58",512.48,"6,520.32","1,200.57","621,782.74","5,578,302.71",0.00,0.00,0.00,0.00,"5,578,302.71",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,156,605.41",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,156,605.41","11,257.84",45.10,"4,191.03",0.00,0.00,"8,702.90","3,170.70",947.65,"4,600.62",177.37,"10,514.54","43,607.76", , , , , , , , ,0.00,0.00,0.00,0.00,"  20,801.16 ","20,801.16",,0.00,,"  1,584.70 ","1,584.70","11,844,381.76"
Niue,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,, Niue,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,0.00
Northern Mariana Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,, Northern Mariana Islands,7.23,46.10,0.00,0.00,0.00,0.08,53.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.05,0.00,0.00,0.11,0.04,0.01,0.06,0.00,0.13,0.55, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,53.96
Norway,161.03,824.31,1.36,0.21,3.18,0.08,990.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.06,0.15,0.00,0.23,0.13,0.00,0.05,0.25,0.00,0.00,0.00,1.30, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,991.47,, Norway,66.13,421.78,1.94,0.61,4.78,0.26,495.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,495.50
Oman,23.41,"2,765.36",0.42,0.07,0.55,1.81,"2,791.62",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.69,0.09,11.01,0.00,12.01,11.21,1.58,0.21,16.83,5.16,0.00,0.00,84.79, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"2,876.41",, Oman,152.89,975.23,3.47,1.45,12.20,0.61,"1,145.86",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"1,145.86"
Pakistan,"8,160.97","2,787,523.69",88.71,13.73,270.62,"1,571.45","2,797,629.18",0.00,"13,126.77",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"13,126.77","31,704.19",0.00,0.00,0.00,0.00,0.00,0.00,"31,704.19","44,830.96",115.30,0.84,47.04,0.00,51.85,49.31,6.97,1.27,71.57,22.55,0.00,0.00,366.70, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"2,855,953.62",, Pakistan,"238,237.15","1,519,595.35","19,969.56",379.36,"8,129.79","1,021.06","1,787,332.28",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,767.79",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,767.79","54,057.15",0.00,0.00,0.00,0.00,0.00,"54,057.15","65,824.94",26.03,1.13,10.52,0.03,0.16,18.13,6.42,2.74,11.24,0.37,21.36,98.13, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"1,853,255.35"
Palau,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,  -   ,0.00,, Palau,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,0.00
Panama,886.69,"7,445.32",2.35,0.36,4.11,5.68,"8,344.51",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.45,20.37,0.00,0.00,0.00,0.00,0.00,0.00,20.37,20.82,78.61,2.04,62.34,0.15,4.04,53.11,5.81,9.15,13.11,16.14,9.09,0.09,253.69, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"8,619.47",, Panama,840.15,"5,358.92",50.21,11.05,102.39,5.87,"6,368.59",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.48,0.48,85.35,0.81,31.93,0.01,0.07,65.51,23.51,7.13,34.97,1.26,78.36,328.93, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"6,698.00"
Papua New Guinea,"9,609.83","125,754.58",0.00,0.00,0.00,90.63,"135,455.04","4,801.58",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,801.58",0.00,0.00,0.00,0.00,855.38,0.00,0.00,855.38,"5,656.95","2,510.37",24.27,"1,029.40",0.00,"1,139.67","1,030.84",138.29,30.82,"1,583.37",455.31,0.00,0.00,"7,942.34",  7.46 , , ,  52.87 , ,  -   , , ,  7.46 ,  52.87 ,  -   ,  60.34 ,,  -   ,  -   ,,  -   ,"153,916.25",, Papua New Guinea,"1,938.62","12,365.48",683.13,14.48,159.52,30.73,"15,191.96",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"10,821.84",0.00,0.00,0.00,0.00,0.00,"10,821.84",0.00,0.00,0.00,0.00,"3,266.70",0.00,"3,266.70","14,088.54",488.06,11.52,187.97,0.29,1.49,361.58,128.41,44.26,203.92,6.95,428.43,"1,862.90",  5.99 , ,  5.09 ,  45.28 , ,  -   , ,  -   ,11.07,45.28,0.00,56.35,,0.00,,0.00,  15.58 ,  8.70 ,24.28,"31,224.03"
Paraguay,"1,689.19","12,070.84",1.35,0.21,1.95,6.93,"13,770.47",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,522.90,12.81,420.85,1.48,25.41,353.84,36.75,61.95,87.02,102.06,57.45,0.88,"1,683.40", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"15,453.92",, Paraguay,"1,086.20","6,928.30",11.61,3.96,35.59,1.83,"8,067.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,257.96,8.78,102.89,0.23,1.19,183.99,65.26,25.15,110.61,3.67,217.28,977.01, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"9,044.51"
Peru,"7,029.11","109,440.66",164.84,25.52,320.38,77.56,"117,058.07",0.00,0.00,0.00,2.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.93,32.32,0.00,0.00,0.00,0.00,0.00,0.00,32.32,35.25,71.92,0.00,74.97,3.05,0.00,33.38,0.00,20.65,19.13,0.00,0.00,1.81,224.92, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"117,321.17",, Peru,"8,135.52","51,892.40","1,136.92",144.76,"1,463.46",98.42,"62,871.48",0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,2.39,0.00,0.00,0.00,0.00,0.00,2.39,3.03,959.79,10.39,360.67,0.20,1.01,733.32,263.36,81.18,394.58,14.23,877.15,"3,695.89", , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,,0.00,"66,570.39"
Philippines,"1,099.40","1,371,679.06",88.43,13.69,164.73,887.58,"1,373,932.88",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,805.00,0.00,0.00,0.00,0.00,805.00,730.41,0.00,0.00,0.00,0.00,0.00,0.00,730.41,"1,535.41",200.80,0.37,83.12,0.00,90.41,83.79,11.76,1.33,127.39,38.66,0.00,0.00,637.64,  710.13 , ,  808.04 ,  483.29 , ,  42.21 , ,  92.59 ,"  1,518.17 ",  483.29 ,  134.80 ,"  2,136.26 ","  8,142.62 ","  8,142.62 ",,  123.94 ,  123.94 ,"1,387,313.75",, Philippines,"88,269.77","563,028.63","43,164.83",696.23,"8,412.29","1,874.19","705,445.95",0.00,"9,480.38",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,480.38","1,561.48",0.00,0.00,0.00,0.00,0.00,"1,561.48","11,041.86","1,047.28",38.71,416.07,1.06,5.42,745.77,264.13,104.69,446.94,14.93,879.50,"3,964.50", , , , , , , , ,0.00,0.00,0.00,0.00,"  2,044.11 ","2,044.11",,0.00,,  31.06 ,31.06,"722,527.47"
Poland,"29,043.09",0.00,8.88,1.38,12.00,1.20,"29,066.56",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.80,0.02,11.89,0.00,12.91,12.25,1.76,0.17,18.14,5.74,0.00,0.00,91.69, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"29,158.25",, Poland,"2,075.29","13,237.23",13.21,5.60,46.25,2.33,"15,379.91",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"15,379.91"
Portugal,"1,423.05","10,175.48",6.25,0.97,9.31,0.42,"11,615.48",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.66,0.37,0.89,0.00,1.39,0.82,0.00,0.28,1.50,0.00,0.00,0.00,7.91, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"11,623.39",, Portugal,613.04,"3,910.27",7.05,2.47,20.54,1.08,"4,554.45",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"4,554.45"
Puerto Rico,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,, Puerto Rico,62.57,399.10,0.00,0.00,0.00,0.69,462.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.54,0.11,9.87,0.00,0.00,20.54,7.48,2.23,10.84,0.42,24.80,102.81, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,565.17
Qatar,0.00,"2,131.57",0.84,0.13,1.14,0.07,"2,133.74",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.77,0.01,1.14,0.00,1.25,1.17,0.16,0.02,1.74,0.54,0.00,0.00,8.80, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"2,142.54",, Qatar,55.85,356.27,0.00,0.00,0.00,0.00,412.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.00,0.27,0.00,0.00,0.55,0.20,0.06,0.29,0.01,0.67,2.77, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,414.89
